Pais,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
Ukraine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.3,42.7,50.4,72.0,66.5,76.2,75.1,73.8,75.2,68.8,70.5,79.6,79.4,75.2,72.1,77.3,76.2,78.0,81.4,87.0,88.8,90.2,92.5,89.8,82.9,89.2,90.2,90.1,83.2,88.4,87.6,81.0,85.6,84.4,83.0,76.2,86.2,13.4%,-0.5%,3.1%
United Kingdom,15.1,20.2,23.3,26.2,29.1,26.0,27.5,29.4,28.0,33.6,30.3,36.2,40.0,37.2,38.3,37.0,38.0,44.0,49.9,54.0,61.1,59.1,55.2,63.5,71.7,65.7,70.5,76.8,89.4,88.3,89.0,94.7,98.1,99.5,95.1,85.1,90.1,87.8,88.7,80.0,81.6,75.5,63.0,52.5,69.1,62.1,69.0,70.4,70.6,63.7,70.3,71.7,70.3,65.1,56.2,50.3,45.9,-8.5%,-4.0%,1.6%
Other Europe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,2.5,3.9,4.4,4.1,4.0,4.5,4.1,4.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Belarus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,5.8,1614.7%,-,0.2%
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.5,0.5,0.4,0.4,0.1,0.1,0.3,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Russian Federation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99.3,105.2,124.7,134.8,136.3,118.3,120.0,119.6,119.2,97.8,99.5,109.0,108.5,103.7,121.9,130.7,136.9,141.6,150.3,144.7,149.4,156.4,160.1,163.1,163.6,170.4,172.9,177.5,172.5,180.8,195.5,196.6,203.1,204.6,209.0,215.9,222.4,3.3%,2.5%,7.9%
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
USSR,1.9,2.1,2.3,3.1,3.6,4.4,5.4,9.8,14.3,21.5,28.6,38.2,51.0,52.5,59.6,73.9,87.1,100.3,111.4,143.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
